TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
ATL,ATL vs. BKN,04/02/2022,W,48,122,36,86,41.9,13,41,31.7,37,49,75.5,10,44,54,18,7,10,4,18,7
NYK,NYK vs. CLE,04/02/2022,L,48,101,31,77,40.3,13,30,43.3,26,34,76.5,6,29,35,19,11,6,4,19,-18
CLE,CLE @ NYK,04/02/2022,W,48,119,44,81,54.3,15,34,44.1,16,21,76.2,7,36,43,26,12,6,3,24,18
UTA,UTA @ GSW,04/02/2022,L,48,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,13,8,2,17,-4
PHI,PHI vs. CHA,04/02/2022,W,48,144,53,87,60.9,21,43,48.8,17,21,81.0,10,37,47,38,19,10,5,18,30
BKN,BKN @ ATL,04/02/2022,L,48,115,42,99,42.4,17,37,45.9,14,19,73.7,10,42,52,17,13,5,3,29,-7
GSW,GSW vs. UTA,04/02/2022,W,48,111,40,84,47.6,20,48,41.7,11,12,91.7,6,35,41,30,11,5,6,22,4
CHI,CHI vs. MIA,04/02/2022,L,48,109,37,86,43.0,9,34,26.5,26,29,89.7,11,28,39,21,6,5,4,19,-18
DEN,DEN vs. MIN,04/01/2022,L,48,130,46,86,53.5,12,35,34.3,26,29,89.7,10,34,44,36,18,7,2,23,-6
NOP,NOP @ LAL,04/01/2022,W,48,114,41,79,51.9,7,26,26.9,25,29,86.2,4,33,37,23,15,8,4,21,3
MEM,MEM vs. PHX,04/01/2022,W,48,122,46,102,45.1,7,24,29.2,23,28,82.1,16,32,48,30,11,7,2,18,8
POR,POR @ SAS,04/01/2022,L,48,111,41,92,44.6,15,35,42.9,14,20,70.0,12,30,42,27,12,12,2,20,-19
DET,DET @ OKC,04/01/2022,W,48,110,40,94,42.6,15,48,31.3,15,18,83.3,8,36,44,29,8,9,8,20,9
SAS,SAS vs. POR,04/01/2022,W,48,130,46,81,56.8,16,37,43.2,22,28,78.6,8,36,44,34,15,9,6,16,19
PHX,PHX @ MEM,04/01/2022,L,48,114,47,86,54.7,10,27,37.0,10,17,58.8,2,37,39,27,20,8,4,25,-8
IND,IND @ BOS,04/01/2022,L,48,123,42,81,51.9,17,36,47.2,22,23,95.7,8,22,30,25,16,9,3,30,-5
TOR,TOR @ ORL,04/01/2022,W,48,102,36,86,41.9,13,42,31.0,17,20,85.0,10,31,41,21,10,13,3,14,13
SAC,SAC @ HOU,04/01/2022,W,48,122,42,81,51.9,12,28,42.9,26,34,76.5,8,39,47,29,13,6,11,19,5
,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL vs. LAC,04/01/2022,L,48,119,50,94,53.2,8,25,32.0,11,18,61.1,13,25,38,30,15,6,5,19,-34
HOU,HOU vs. SAC,04/01/2022,L,48,117,41,97,42.3,17,45,37.8,18,26,69.2,15,30,45,26,11,9,7,25,-5
MIN,MIN @ DEN,04/01/2022,W,48,136,43,86,50.0,19,40,47.5,31,36,86.1,10,28,38,26,12,14,4,23,6
DAL,DAL @ WAS,04/01/2022,L,48,103,34,78,43.6,11,38,28.9,24,26,92.3,5,31,36,14,13,3,3,16,-32
WAS,WAS vs. DAL,04/01/2022,W,48,135,49,90,54.4,17,33,51.5,20,22,90.9,8,37,45,33,9,7,4,19,32
BOS,BOS vs. IND,04/01/2022,W,48,128,45,83,54.2,12,33,36.4,26,28,92.9,11,29,40,29,16,7,4,19,5
LAL,LAL vs. NOP,04/01/2022,L,48,111,39,82,47.6,11,27,40.7,22,31,71.0,7,33,40,24,17,10,1,24,-3
LAC,LAC @ MIL,04/01/2022,W,48,153,56,92,60.9,23,43,53.5,18,24,75.0,8,28,36,34,10,9,7,17,34
OKC,OKC vs. DET,04/01/2022,L,48,101,36,84,42.9,11,34,32.4,18,29,62.1,12,42,54,24,17,1,8,15,-9
ORL,ORL vs. TOR,04/01/2022,L,48,89,34,79,43.0,11,35,31.4,10,11,90.9,9,36,45,24,22,6,4,14,-13
DET,DET vs. PHI,03/31/2022,W,48,102,41,82,50.0,10,35,28.6,10,15,66.7,5,33,38,26,10,11,4,21,8
CHI,CHI vs. LAC,03/31/2022,W,53,135,50,102,49.0,10,29,34.5,25,32,78.1,13,37,50,24,8,6,3,17,5
ATL,ATL vs. CLE,03/31/2022,W,48,131,45,91,49.5,17,39,43.6,24,28,85.7,12,36,48,27,9,7,4,22,24
LAL,LAL @ UTA,03/31/2022,L,48,109,41,83,49.4,7,25,28.0,20,28,71.4,9,31,40,18,11,5,3,21,-13
MIL,MIL @ BKN,03/31/2022,W,53,120,40,89,44.9,12,41,29.3,28,34,82.4,11,46,57,17,23,12,3,14,1
CLE,CLE @ ATL,03/31/2022,L,48,107,39,90,43.3,7,30,23.3,22,28,78.6,15,32,47,19,14,6,5,20,-24
BKN,BKN vs. MIL,03/31/2022,L,53,119,45,97,46.4,18,37,48.6,11,16,68.8,5,36,41,31,16,12,7,25,-1
LAC,LAC @ CHI,03/31/2022,L,53,130,45,90,50.0,16,36,44.4,24,26,92.3,4,36,40,26,12,7,5,24,-5
UTA,UTA vs. LAL,03/31/2022,W,48,122,46,90,51.1,15,44,34.1,15,24,62.5,9,32,41,25,8,7,2,20,13
PHI,PHI @ DET,03/31/2022,L,48,94,31,69,44.9,7,26,26.9,25,28,89.3,4,35,39,22,15,8,9,17,-8
NOP,NOP @ POR,03/30/2022,W,48,117,40,78,51.3,6,24,25.0,31,39,79.5,12,28,40,26,14,16,6,16,10
ATL,ATL @ OKC,03/30/2022,W,48,136,49,91,53.8,18,39,46.2,20,22,90.9,6,37,43,28,13,10,4,19,18
NYK,NYK vs. CHA,03/30/2022,L,48,114,40,85,47.1,16,44,36.4,18,26,69.2,11,32,43,23,14,5,5,19,-11
ORL,ORL @ WAS,03/30/2022,L,48,110,40,96,41.7,11,34,32.4,19,22,86.4,11,31,42,21,12,8,5,23,-17
GSW,GSW vs. PHX,03/30/2022,L,48,103,35,83,42.2,13,38,34.2,20,25,80.0,10,38,48,26,21,7,4,24,-4
SAS,SAS vs. MEM,03/30/2022,L,48,111,42,83,50.6,14,35,40.0,13,16,81.3,7,30,37,26,15,8,1,13,-1
MEM,MEM @ SAS,03/30/2022,W,48,112,44,91,48.4,16,39,41.0,8,11,72.7,12,28,40,26,14,8,5,15,1
MIN,MIN @ TOR,03/30/2022,L,48,102,37,92,40.2,11,37,29.7,17,23,73.9,17,31,48,26,22,11,9,19,-23
POR,POR vs. NOP,03/30/2022,L,48,107,39,85,45.9,14,42,33.3,15,18,83.3,13,28,41,30,22,7,4,27,-10
PHX,PHX @ GSW,03/30/2022,W,48,107,38,92,41.3,7,28,25.0,24,30,80.0,12,34,46,20,14,9,1,19,4
WAS,WAS vs. ORL,03/30/2022,W,48,127,47,92,51.1,13,36,36.1,20,26,76.9,12,39,51,35,12,5,8,15,17
DEN,DEN @ IND,03/30/2022,W,48,125,50,80,62.5,12,28,42.9,13,14,92.9,8,35,43,33,20,6,4,20,7
CHA,CHA @ NYK,03/30/2022,W,48,125,49,90,54.4,12,35,34.3,15,17,88.2,8,32,40,39,12,7,3,21,11
SAC,SAC @ HOU,03/30/2022,W,48,121,44,95,46.3,7,26,26.9,26,36,72.2,13,31,44,21,9,7,10,21,3
CLE,CLE vs. DAL,03/30/2022,L,48,112,42,83,50.6,11,25,44.0,17,22,77.3,9,30,39,24,15,7,3,15,-8
DAL,DAL @ CLE,03/30/2022,W,48,120,46,88,52.3,16,42,38.1,12,15,80.0,9,29,38,28,12,6,6,17,8
OKC,OKC vs. ATL,03/30/2022,L,48,118,41,87,47.1,17,41,41.5,19,27,70.4,10,32,42,31,18,5,2,17,-18
BOS,BOS vs. MIA,03/30/2022,L,48,98,35,85,41.2,11,37,29.7,17,23,73.9,8,36,44,27,18,9,1,22,-8
TOR,TOR vs. MIN,03/30/2022,W,48,125,48,96,50.0,18,36,50.0,11,15,73.3,11,36,47,32,19,9,4,23,23
HOU,HOU vs. SAC,03/30/2022,L,48,118,43,94,45.7,13,42,31.0,19,25,76.0,12,39,51,23,18,7,4,34,-3
IND,IND vs. DEN,03/30/2022,L,48,118,44,97,45.4,12,40,30.0,18,23,78.3,18,19,37,29,8,11,4,21,-7
MIA,MIA @ BOS,03/30/2022,W,48,106,38,79,48.1,13,34,38.2,17,25,68.0,4,38,42,27,18,9,6,23,8
LAC,LAC vs. UTA,03/29/2022,W,48,121,41,83,49.4,15,36,41.7,24,28,85.7,10,23,33,21,11,8,4,23,6
DET,DET @ BKN,03/29/2022,L,48,123,48,99,48.5,16,38,42.1,11,13,84.6,16,23,39,28,14,11,4,25,-7
DAL,DAL vs. LAL,03/29/2022,W,48,128,45,87,51.7,20,46,43.5,18,23,78.3,11,35,46,27,8,5,1,14,18
LAL,LAL @ DAL,03/29/2022,L,48,110,40,89,44.9,12,44,27.3,18,22,81.8,14,34,48,20,9,7,2,22,-18
MIL,MIL @ PHI,03/29/2022,W,48,118,44,88,50.0,14,38,36.8,16,23,69.6,9,39,48,26,11,5,4,17,2
CHI,CHI @ WAS,03/29/2022,W,48,107,43,85,50.6,6,18,33.3,15,18,83.3,6,30,36,26,9,9,1,14,13
PHI,PHI vs. MIL,03/29/2022,L,48,116,43,89,48.3,16,41,39.0,14,18,77.8,5,35,40,28,9,7,3,19,-2
