TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
HOU,HOU vs. NOP,03/19/2023,L,48,107,31,76,40.8,9,33,27.3,36,38,94.7,8,28,36,15,13,4,2,22,-10
MIA,MIA @ DET,03/19/2023,W,48,112,38,79,48.1,13,39,33.3,23,25,92.0,8,34,42,33,10,4,4,17,12
PHX,PHX @ OKC,03/19/2023,L,48,120,44,92,47.8,15,36,41.7,17,24,70.8,9,31,40,31,14,7,9,31,-4
ATL,ATL @ SAS,03/19/2023,L,48,118,48,101,47.5,5,22,22.7,17,20,85.0,20,31,51,21,12,4,4,13,-8
TOR,TOR @ MIL,03/19/2023,L,48,111,44,99,44.4,14,34,41.2,9,12,75.0,9,32,41,25,7,6,4,15,-7
DEN,DEN @ BKN,03/19/2023,W,48,108,42,80,52.5,12,23,52.2,12,13,92.3,6,34,40,31,17,5,3,17,6
SAC,SAC @ WAS,03/18/2023,W,48,132,48,86,55.8,22,37,59.5,14,23,60.9,7,37,44,34,8,7,7,22,14
DEN,DEN @ NYK,03/18/2023,L,48,110,43,84,51.2,12,33,36.4,12,15,80.0,6,27,33,30,13,3,2,21,-6
MEM,MEM vs. GSW,03/18/2023,W,48,133,52,95,54.7,18,38,47.4,11,17,64.7,11,28,39,35,7,5,5,24,14
LAC,LAC vs. ORL,03/18/2023,L,48,108,42,90,46.7,6,22,27.3,18,24,75.0,13,30,43,23,15,9,3,24,-5
CHI,CHI vs. MIA,03/18/2023,W,48,113,45,80,56.3,17,34,50.0,6,6,100,5,27,32,34,14,8,5,18,14
BOS,BOS @ UTA,03/18/2023,L,48,117,42,88,47.7,22,51,43.1,11,16,68.8,5,35,40,30,8,2,2,17,-1
WAS,WAS vs. SAC,03/18/2023,L,48,118,41,91,45.1,13,36,36.1,23,27,85.2,12,34,46,27,10,6,5,18,-14
GSW,GSW @ MEM,03/18/2023,L,48,119,39,91,42.9,13,35,37.1,28,34,82.4,15,27,42,27,13,3,8,21,-14
UTA,UTA vs. BOS,03/18/2023,W,48,118,42,97,43.3,17,41,41.5,17,22,77.3,17,39,56,29,7,3,5,14,1
MIN,MIN @ TOR,03/18/2023,L,48,107,39,85,45.9,5,23,21.7,24,28,85.7,9,33,42,27,15,5,2,23,-15
MIA,MIA @ CHI,03/18/2023,L,48,99,35,82,42.7,10,37,27.0,19,24,79.2,14,25,39,23,14,4,2,10,-14
PHI,PHI @ IND,03/18/2023,W,48,141,54,88,61.4,15,35,42.9,18,22,81.8,6,24,30,31,8,11,6,17,20
