TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
BOS,BOS @ ATL,03/11/2023,W,48,134,52,95,54.7,20,42,47.6,10,12,83.3,5,35,40,35,9,6,6,21,9
ATL,ATL vs. BOS,03/11/2023,L,48,125,50,100,50.0,10,34,29.4,15,16,93.8,13,35,48,24,10,4,4,17,-9
CHA,CHA vs. UTA,03/11/2023,L,48,111,40,98,40.8,17,40,42.5,14,15,93.3,11,32,43,24,7,5,14,15,-8
IND,IND @ DET,03/11/2023,W,48,121,43,93,46.2,9,35,25.7,26,34,76.5,18,40,58,24,14,7,6,20,6
,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ PHX,03/11/2023,W,48,128,41,85,48.2,15,35,42.9,31,37,83.8,8,31,39,19,15,10,2,19,9
UTA,UTA @ CHA,03/11/2023,W,48,119,46,103,44.7,9,32,28.1,18,20,90.0,20,40,60,22,11,4,4,17,8
NOP,NOP vs. OKC,03/11/2023,L,48,96,34,81,42.0,12,34,35.3,16,19,84.2,8,35,43,23,22,3,4,25,-14
MIL,MIL @ GSW,03/11/2023,L,53,116,43,100,43.0,21,51,41.2,9,11,81.8,7,41,48,28,17,9,7,14,-9
ATL,ATL @ WAS,03/10/2023,W,48,114,42,95,44.2,15,31,48.4,15,19,78.9,13,33,46,25,14,9,4,17,7
CLE,CLE @ MIA,03/10/2023,L,48,115,40,86,46.5,18,43,41.9,17,21,81.0,8,26,34,25,11,5,6,20,-4
MIA,MIA vs. CLE,03/10/2023,W,48,119,42,82,51.2,14,29,48.3,21,23,91.3,11,35,46,22,16,7,4,20,4
TOR,TOR @ LAL,03/10/2023,L,48,112,46,92,50.0,10,28,35.7,10,13,76.9,10,27,37,29,13,14,3,16,-10
WAS,WAS vs. ATL,03/10/2023,L,48,107,43,88,48.9,7,27,25.9,14,18,77.8,7,36,43,27,15,8,6,17,-7
DEN,DEN @ SAS,03/10/2023,L,48,120,44,90,48.9,13,35,37.1,19,20,95.0,8,25,33,32,14,14,4,14,-8
SAS,SAS vs. DEN,03/10/2023,W,48,128,51,94,54.3,13,33,39.4,13,17,76.5,13,37,50,31,19,10,0,20,8
LAL,LAL vs. TOR,03/10/2023,W,48,122,45,80,56.3,13,30,43.3,19,19,100,5,30,35,28,21,8,8,10,10
PHI,PHI vs. POR,03/10/2023,W,48,120,43,83,51.8,11,30,36.7,23,29,79.3,12,30,42,25,10,7,4,24,1
BKN,BKN @ MIN,03/10/2023,W,53,124,42,91,46.2,16,34,47.1,24,33,72.7,12,36,48,20,15,7,5,26,1
MIN,MIN vs. BKN,03/10/2023,L,53,123,48,98,49.0,9,30,30.0,18,29,62.1,12,35,47,29,14,10,6,21,-1
POR,POR @ PHI,03/10/2023,L,48,119,42,80,52.5,15,36,41.7,20,30,66.7,5,31,36,24,9,6,3,17,-1
UTA,UTA @ ORL,03/09/2023,W,48,131,49,88,55.7,13,34,38.2,20,21,95.2,11,31,42,27,18,7,8,26,7
SAC,SAC vs. NYK,03/09/2023,W,48,122,44,84,52.4,10,32,31.3,24,32,75.0,6,36,42,28,12,10,3,21,5
NYK,NYK @ SAC,03/09/2023,L,48,117,42,101,41.6,13,50,26.0,20,31,64.5,23,35,58,27,14,8,1,25,-5
BKN,BKN @ MIL,03/09/2023,L,48,113,41,104,39.4,14,36,38.9,17,17,100,15,32,47,20,14,10,4,12,-5
MIL,MIL vs. BKN,03/09/2023,W,48,118,44,104,42.3,19,50,38.0,11,14,78.6,20,41,61,33,16,8,12,14,5
IND,IND vs. HOU,03/09/2023,W,53,134,48,100,48.0,18,45,40.0,20,21,95.2,8,34,42,34,12,12,15,21,9
CHA,CHA @ DET,03/09/2023,W,48,113,43,86,50.0,8,24,33.3,19,32,59.4,13,31,44,24,13,11,9,18,10
DET,DET vs. CHA,03/09/2023,L,48,103,40,89,44.9,7,21,33.3,16,20,80.0,17,31,48,20,19,5,4,22,-10
MEM,MEM vs. GSW,03/09/2023,W,48,131,50,93,53.8,18,40,45.0,13,18,72.2,9,33,42,36,14,6,3,18,21
GSW,GSW @ MEM,03/09/2023,L,48,110,36,82,43.9,15,45,33.3,23,24,95.8,8,24,32,25,17,9,3,17,-21
HOU,HOU @ IND,03/09/2023,L,53,125,49,107,45.8,6,17,35.3,21,29,72.4,20,38,58,18,17,6,6,22,-9
ORL,ORL vs. UTA,03/09/2023,L,48,124,44,94,46.8,16,34,47.1,20,31,64.5,12,24,36,21,10,9,4,16,-7
CLE,CLE @ MIA,03/08/2023,W,48,104,39,80,48.8,9,28,32.1,17,19,89.5,7,25,32,26,17,13,3,23,4
MIA,MIA vs. CLE,03/08/2023,L,48,100,35,70,50.0,8,29,27.6,22,29,75.9,10,27,37,22,24,7,4,19,-4
LAC,LAC vs. TOR,03/08/2023,W,48,108,39,71,54.9,6,20,30.0,24,31,77.4,9,35,44,23,17,9,4,18,8
PHX,PHX vs. OKC,03/08/2023,W,48,132,49,94,52.1,20,43,46.5,14,16,87.5,14,40,54,31,15,10,7,17,31
CHI,CHI @ DEN,03/08/2023,W,48,117,46,89,51.7,8,24,33.3,17,18,94.4,9,41,50,26,9,9,2,16,21
DEN,DEN vs. CHI,03/08/2023,L,48,96,37,88,42.0,15,40,37.5,7,15,46.7,11,33,44,26,11,5,2,16,-21
OKC,OKC @ PHX,03/08/2023,L,48,101,33,88,37.5,15,43,34.9,20,21,95.2,7,30,37,23,16,9,2,13,-31
BOS,BOS vs. POR,03/08/2023,W,48,115,42,88,47.7,18,49,36.7,13,20,65.0,5,40,45,26,11,9,2,20,22
ATL,ATL @ WAS,03/08/2023,W,48,122,45,85,52.9,12,29,41.4,20,26,76.9,8,28,36,26,11,11,5,17,2
DAL,DAL @ NOP,03/08/2023,L,48,106,38,88,43.2,16,46,34.8,14,19,73.7,5,29,34,24,9,7,0,18,-7
NOP,NOP vs. DAL,03/08/2023,W,48,113,42,83,50.6,13,27,48.1,16,18,88.9,9,40,49,32,15,4,6,19,7
POR,POR @ BOS,03/08/2023,L,48,93,30,82,36.6,11,39,28.2,22,27,81.5,6,41,47,18,16,5,2,19,-22
WAS,WAS vs. ATL,03/08/2023,L,48,120,47,83,56.6,12,29,41.4,14,17,82.4,6,33,39,34,19,9,1,16,-2
TOR,TOR @ LAC,03/08/2023,L,48,100,37,96,38.5,13,32,40.6,13,14,92.9,15,26,41,21,12,12,2,23,-8
ORL,ORL vs. MIL,03/07/2023,L,48,123,50,100,50.0,9,30,30.0,14,19,73.7,10,28,38,24,13,7,0,22,-11
OKC,OKC vs. GSW,03/07/2023,W,48,137,50,94,53.2,17,37,45.9,20,24,83.3,13,31,44,28,18,10,2,17,9
MIN,MIN vs. PHI,03/07/2023,L,48,94,34,86,39.5,11,36,30.6,15,21,71.4,6,28,34,19,11,9,7,16,-23
HOU,HOU vs. BKN,03/07/2023,L,48,96,36,83,43.4,7,26,26.9,17,24,70.8,15,33,48,14,19,6,1,22,-22
MIL,MIL @ ORL,03/07/2023,W,48,134,46,78,59.0,10,28,35.7,32,34,94.1,3,35,38,28,17,5,5,18,11
CHA,CHA @ NYK,03/07/2023,W,48,112,42,85,49.4,12,32,37.5,16,21,76.2,10,32,42,27,12,2,5,20,7
WAS,WAS @ DET,03/07/2023,W,48,119,47,81,58.0,12,25,48.0,13,17,76.5,9,28,37,27,15,9,5,20,2
PHI,PHI @ MIN,03/07/2023,W,48,117,40,81,49.4,15,25,60.0,22,23,95.7,8,46,54,21,16,8,6,17,23
