TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS @ NYK,05/16/2021,L,48,92,35,86,40.7,11,41,26.8,11,15,73.3,9,37,46,19,12,4,6,19,-4
DET,DET vs. MIA,05/16/2021,L,48,107,40,86,46.5,11,35,31.4,16,22,72.7,7,26,33,26,16,4,4,21,-13
CLE,CLE @ BKN,05/16/2021,L,48,109,38,85,44.7,12,39,30.8,21,31,67.7,11,34,45,16,16,8,5,14,-14
ATL,ATL vs. HOU,05/16/2021,W,48,124,49,90,54.4,7,21,33.3,19,26,73.1,11,45,56,32,13,10,8,16,29
TOR,TOR vs. IND,05/16/2021,L,48,113,39,97,40.2,12,38,31.6,23,29,79.3,16,32,48,21,12,8,3,12,-12
MEM,MEM @ GSW,05/16/2021,L,48,101,40,92,43.5,6,25,24.0,15,19,78.9,12,27,39,25,13,12,5,21,-12
DAL,DAL @ MIN,05/16/2021,L,48,121,44,91,48.4,16,38,42.1,17,20,85.0,11,27,38,32,16,5,5,19,-15
NOP,NOP vs. LAL,05/16/2021,L,48,98,37,78,47.4,9,25,36.0,15,21,71.4,8,39,47,26,21,4,5,18,-12
POR,POR vs. DEN,05/16/2021,W,48,132,46,87,52.9,18,43,41.9,22,26,84.6,11,40,51,24,14,3,6,16,16
ORL,ORL @ PHI,05/16/2021,L,48,117,36,76,47.4,10,28,35.7,35,41,85.4,9,38,47,23,17,4,3,25,-11
DEN,DEN @ POR,05/16/2021,L,48,116,44,98,44.9,14,37,37.8,14,15,93.3,10,26,36,20,6,8,2,20,-16
MIL,MIL @ CHI,05/16/2021,L,48,112,38,90,42.2,12,37,32.4,24,32,75.0,10,31,41,14,12,13,5,16,-6
CHA,CHA @ WAS,05/16/2021,L,48,110,37,94,39.4,14,45,31.1,22,24,91.7,10,32,42,25,13,8,5,15,-5
LAC,LAC @ OKC,05/16/2021,L,48,112,45,106,42.5,10,43,23.3,12,15,80.0,16,28,44,17,3,8,3,14,-5
SAS,SAS vs. PHX,05/16/2021,L,48,121,50,98,51.0,7,24,29.2,14,19,73.7,11,35,46,30,10,5,5,8,-2
UTA,UTA @ SAC,05/16/2021,W,48,121,41,86,47.7,18,39,46.2,21,25,84.0,9,41,50,28,16,9,3,14,22
MIN,MIN vs. DAL,05/16/2021,W,48,136,49,90,54.4,17,40,42.5,21,25,84.0,11,27,38,35,10,11,4,22,15
SAC,SAC vs. UTA,05/16/2021,L,48,99,42,90,46.7,9,30,30.0,6,10,60.0,5,34,39,24,13,10,5,22,-22
PHX,PHX @ SAS,05/16/2021,W,48,123,53,104,51.0,13,35,37.1,4,4,100,10,38,48,36,8,7,5,13,2
NYK,NYK vs. BOS,05/16/2021,W,48,96,34,79,43.0,13,27,48.1,15,19,78.9,4,37,41,16,11,7,6,17,4
IND,IND @ TOR,05/16/2021,W,48,125,48,95,50.5,15,37,40.5,14,18,77.8,10,37,47,34,13,8,3,19,12
LAL,LAL @ NOP,05/16/2021,W,48,110,45,96,46.9,11,35,31.4,9,15,60.0,8,34,42,30,10,14,5,16,12
GSW,GSW vs. MEM,05/16/2021,W,48,113,41,83,49.4,15,39,38.5,16,18,88.9,12,34,46,26,20,9,4,19,12
MIA,MIA @ DET,05/16/2021,W,48,120,47,84,56.0,13,34,38.2,13,20,65.0,6,33,39,32,12,11,5,19,13
PHI,PHI vs. ORL,05/16/2021,W,48,128,46,94,48.9,19,40,47.5,17,23,73.9,9,32,41,35,12,8,5,27,11
OKC,OKC vs. LAC,05/16/2021,W,48,117,50,94,53.2,8,26,30.8,9,16,56.3,14,40,54,20,15,1,12,11,5
WAS,WAS vs. CHA,05/16/2021,W,48,115,44,91,48.4,10,31,32.3,17,21,81.0,10,43,53,22,14,4,3,20,5
HOU,HOU @ ATL,05/16/2021,L,48,95,31,92,33.7,18,63,28.6,15,20,75.0,11,32,43,25,16,8,5,18,-29
CHI,CHI vs. MIL,05/16/2021,W,48,118,45,87,51.7,14,32,43.8,14,19,73.7,8,37,45,23,16,8,8,20,6
BKN,BKN vs. CLE,05/16/2021,W,48,123,47,83,56.6,16,30,53.3,13,17,76.5,4,33,37,35,12,9,9,20,14
SAS,SAS vs. PHX,05/15/2021,L,48,103,39,88,44.3,4,26,15.4,21,24,87.5,7,34,41,23,16,5,2,17,-37
CHI,CHI @ BKN,05/15/2021,L,48,91,34,98,34.7,11,41,26.8,12,17,70.6,19,33,52,24,9,7,4,13,-14
NYK,NYK vs. CHA,05/15/2021,W,53,118,45,88,51.1,16,37,43.2,12,15,80.0,7,43,50,29,10,3,7,20,9
CHA,CHA @ NYK,05/15/2021,L,53,109,39,102,38.2,13,49,26.5,18,24,75.0,15,36,51,28,8,5,2,18,-9
LAL,LAL @ IND,05/15/2021,W,48,122,41,86,47.7,11,29,37.9,29,36,80.6,11,34,45,25,13,5,3,15,7
IND,IND vs. LAL,05/15/2021,L,48,115,46,89,51.7,9,33,27.3,14,19,73.7,8,29,37,28,13,10,8,23,-7
BOS,BOS @ MIN,05/15/2021,W,48,124,46,95,48.4,18,42,42.9,14,18,77.8,9,35,44,27,15,8,6,24,16
MIN,MIN vs. BOS,05/15/2021,L,48,108,39,95,41.1,5,37,13.5,25,34,73.5,20,31,51,22,13,8,7,19,-16
BKN,BKN vs. CHI,05/15/2021,W,48,105,41,87,47.1,14,34,41.2,9,15,60.0,8,44,52,26,10,6,8,16,14
MIL,MIL vs. MIA,05/15/2021,W,48,122,46,86,53.5,13,35,37.1,17,24,70.8,5,43,48,29,11,4,3,15,14
PHX,PHX @ SAS,05/15/2021,W,48,140,52,94,55.3,15,33,45.5,21,22,95.5,7,40,47,32,10,10,1,15,37
MIA,MIA @ MIL,05/15/2021,L,48,108,40,96,41.7,22,49,44.9,6,8,75.0,9,29,38,25,11,8,3,18,-14
LAC,LAC @ HOU,05/14/2021,L,48,115,45,93,48.4,11,35,31.4,14,15,93.3,7,28,35,29,14,9,5,15,-7
PHI,PHI vs. ORL,05/14/2021,W,48,122,44,93,47.3,16,34,47.1,18,19,94.7,10,36,46,35,9,9,8,25,25
HOU,HOU vs. LAC,05/14/2021,W,48,122,46,86,53.5,14,37,37.8,16,22,72.7,8,33,41,30,16,4,4,20,7
NOP,NOP @ GSW,05/14/2021,L,48,122,46,99,46.5,11,27,40.7,19,28,67.9,12,39,51,21,9,6,3,23,-3
TOR,TOR @ DAL,05/14/2021,L,48,110,42,85,49.4,13,38,34.2,13,17,76.5,4,40,44,19,12,7,5,18,-4
WAS,WAS vs. CLE,05/14/2021,W,48,120,41,89,46.1,7,25,28.0,31,37,83.8,12,35,47,23,11,9,6,19,15
SAC,SAC @ MEM,05/14/2021,L,48,106,37,96,38.5,10,42,23.8,22,27,81.5,14,42,56,21,10,7,2,21,-1
MEM,MEM vs. SAC,05/14/2021,W,48,107,37,84,44.0,11,33,33.3,22,35,62.9,9,40,49,23,13,8,5,20,1
,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL vs. TOR,05/14/2021,W,48,114,39,90,43.3,17,42,40.5,19,21,90.5,11,31,42,27,10,4,3,18,4
DET,DET vs. DEN,05/14/2021,L,48,91,34,83,41.0,6,37,16.2,17,23,73.9,9,32,41,21,10,6,8,13,-13
GSW,GSW vs. NOP,05/14/2021,W,48,125,42,87,48.3,17,39,43.6,24,30,80.0,8,38,46,29,12,4,4,21,3
DEN,DEN @ DET,05/14/2021,W,48,104,42,86,48.8,9,32,28.1,11,14,78.6,9,40,49,29,12,6,3,17,13
UTA,UTA @ OKC,05/14/2021,W,48,109,40,93,43.0,13,39,33.3,16,21,76.2,17,36,53,23,11,9,3,17,16
ORL,ORL @ PHI,05/14/2021,L,48,97,33,83,39.8,10,30,33.3,21,28,75.0,10,34,44,21,13,4,5,15,-25
OKC,OKC vs. UTA,05/14/2021,L,48,93,36,84,42.9,6,19,31.6,15,16,93.8,10,35,45,13,17,6,2,20,-16
CLE,CLE @ WAS,05/14/2021,L,48,105,39,84,46.4,10,36,27.8,17,21,81.0,7,37,44,24,17,4,3,21,-15
PHX,PHX vs. POR,05/13/2021,W,48,118,41,88,46.6,13,32,40.6,23,26,88.5,10,32,42,22,11,4,3,17,1
