TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
MEM,MEM vs. SAC,05/13/2021,W,48,116,45,90,50.0,11,33,33.3,15,18,83.3,12,36,48,30,18,2,9,13,6
SAC,SAC @ MEM,05/13/2021,L,48,110,42,96,43.8,17,41,41.5,9,14,64.3,13,22,35,33,11,9,9,16,-6
MIL,MIL @ IND,05/13/2021,W,48,142,54,94,57.4,11,30,36.7,23,31,74.2,10,41,51,34,12,5,6,10,9
IND,IND vs. MIL,05/13/2021,L,48,133,50,110,45.5,21,43,48.8,12,15,80.0,12,28,40,34,8,6,2,22,-9
SAS,SAS @ NYK,05/13/2021,L,48,98,38,91,41.8,6,21,28.6,16,19,84.2,9,38,47,22,11,4,6,16,-4
NYK,NYK vs. SAS,05/13/2021,W,48,102,35,86,40.7,14,35,40.0,18,18,100,10,38,48,23,10,7,8,19,4
DEN,DEN @ MIN,05/13/2021,W,48,114,46,96,47.9,12,36,33.3,10,11,90.9,14,39,53,30,14,6,3,25,11
LAC,LAC @ CHA,05/13/2021,W,48,113,40,75,53.3,21,45,46.7,12,16,75.0,6,38,44,28,17,6,6,17,23
MIA,MIA vs. PHI,05/13/2021,W,48,106,41,81,50.6,13,35,37.1,11,11,100,15,32,47,26,20,5,6,15,12
MIN,MIN vs. DEN,05/13/2021,L,48,103,34,80,42.5,16,41,39.0,19,32,59.4,11,32,43,20,15,3,5,17,-11
ATL,ATL vs. ORL,05/13/2021,W,48,116,41,94,43.6,14,36,38.9,20,24,83.3,12,37,49,19,7,9,4,16,23
ORL,ORL @ ATL,05/13/2021,L,48,93,36,94,38.3,11,36,30.6,10,15,66.7,16,35,51,24,14,3,6,16,-23
CHA,CHA vs. LAC,05/13/2021,L,48,90,33,84,39.3,9,33,27.3,15,19,78.9,8,27,35,24,12,9,1,15,-23
CHI,CHI vs. TOR,05/13/2021,W,48,114,45,83,54.2,17,36,47.2,7,10,70.0,8,43,51,31,19,4,4,15,12
TOR,TOR @ CHI,05/13/2021,L,48,102,40,90,44.4,12,36,33.3,10,18,55.6,7,25,32,24,11,16,1,14,-12
PHI,PHI @ MIA,05/13/2021,L,48,94,36,78,46.2,7,25,28.0,15,20,75.0,8,22,30,20,13,8,1,18,-12
POR,POR @ PHX,05/13/2021,L,48,117,44,81,54.3,15,33,45.5,14,18,77.8,1,32,33,23,13,7,3,18,-1
SAS,SAS @ BKN,05/12/2021,L,48,116,43,101,42.6,8,31,25.8,22,27,81.5,16,30,46,21,8,7,2,19,-12
CLE,CLE vs. BOS,05/12/2021,W,48,102,36,80,45.0,8,24,33.3,22,27,81.5,7,48,55,27,16,4,6,13,8
WAS,WAS @ ATL,05/12/2021,L,48,116,45,101,44.6,10,29,34.5,16,19,84.2,9,33,42,29,7,10,1,20,-4
ATL,ATL vs. WAS,05/12/2021,W,48,120,44,86,51.2,10,33,30.3,22,28,78.6,7,44,51,22,14,4,5,21,4
HOU,HOU @ LAL,05/12/2021,L,48,122,43,85,50.6,18,42,42.9,18,27,66.7,8,33,41,33,15,7,4,23,-2
BKN,BKN vs. SAS,05/12/2021,W,48,128,48,79,60.8,12,28,42.9,20,27,74.1,3,40,43,33,11,3,9,19,12
POR,POR @ UTA,05/12/2021,W,48,105,40,91,44.0,13,32,40.6,12,17,70.6,9,30,39,17,5,7,6,18,7
NOP,NOP @ DAL,05/12/2021,L,48,107,36,87,41.4,7,28,25.0,28,38,73.7,11,33,44,18,13,5,2,18,-18
LAL,LAL vs. HOU,05/12/2021,W,48,124,52,91,57.1,7,20,35.0,13,22,59.1,8,33,41,28,11,8,3,20,2
BOS,BOS @ CLE,05/12/2021,L,48,94,36,101,35.6,12,41,29.3,10,14,71.4,13,33,46,14,7,9,8,23,-8
DAL,DAL vs. NOP,05/12/2021,W,48,125,47,96,49.0,15,45,33.3,16,20,80.0,9,39,48,23,8,4,2,27,18
UTA,UTA vs. POR,05/12/2021,L,48,98,35,85,41.2,12,40,30.0,16,21,76.2,15,38,53,15,12,4,4,22,-7
IND,IND vs. PHI,05/11/2021,W,48,103,37,83,44.6,14,41,34.1,15,16,93.8,7,38,45,28,14,7,6,15,9
DAL,DAL @ MEM,05/11/2021,L,48,104,37,88,42.0,12,38,31.6,18,19,94.7,13,22,35,23,13,8,2,15,-29
DET,DET vs. MIN,05/11/2021,L,48,100,35,75,46.7,10,23,43.5,20,26,76.9,6,40,46,21,28,8,5,23,-19
MIN,MIN @ DET,05/11/2021,W,48,119,45,98,45.9,14,48,29.2,15,21,71.4,11,33,44,30,15,16,8,22,19
DEN,DEN @ CHA,05/11/2021,W,48,117,41,83,49.4,13,33,39.4,22,26,84.6,10,28,38,26,17,12,2,19,5
NYK,NYK @ LAL,05/11/2021,L,53,99,34,87,39.1,10,29,34.5,21,23,91.3,5,36,41,19,10,8,3,21,-2
CHA,CHA vs. DEN,05/11/2021,L,48,112,42,91,46.2,11,39,28.2,17,20,85.0,15,34,49,30,17,9,5,17,-5
TOR,TOR vs. LAC,05/11/2021,L,48,96,35,86,40.7,10,37,27.0,16,19,84.2,9,26,35,21,13,10,8,22,-19
PHX,PHX @ GSW,05/11/2021,L,48,116,41,79,51.9,16,37,43.2,18,20,90.0,6,30,36,26,11,4,6,20,-6
SAC,SAC vs. OKC,05/11/2021,W,48,122,44,86,51.2,19,39,48.7,15,19,78.9,6,34,40,28,16,13,6,21,16
GSW,GSW vs. PHX,05/11/2021,W,48,122,47,95,49.5,11,40,27.5,17,20,85.0,12,28,40,33,10,8,1,20,6
LAL,LAL vs. NYK,05/11/2021,W,53,101,37,89,41.6,12,28,42.9,15,19,78.9,14,39,53,31,20,5,5,17,2
,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ BOS,05/11/2021,W,48,129,48,81,59.3,16,30,53.3,17,22,77.3,6,37,43,25,14,7,4,21,8
ORL,ORL @ MIL,05/11/2021,L,48,102,39,94,41.5,10,30,33.3,14,20,70.0,10,42,52,18,12,6,2,20,-12
MEM,MEM vs. DAL,05/11/2021,W,48,133,51,89,57.3,16,33,48.5,15,16,93.8,10,34,44,32,11,11,6,16,29
BKN,BKN @ CHI,05/11/2021,W,48,115,42,89,47.2,12,33,36.4,19,25,76.0,13,38,51,32,8,4,8,19,8
CHI,CHI vs. BKN,05/11/2021,L,48,107,39,96,40.6,18,44,40.9,11,14,78.6,10,35,45,21,9,4,5,20,-8
BOS,BOS vs. MIA,05/11/2021,L,48,121,46,88,52.3,18,37,48.6,11,17,64.7,3,29,32,31,11,8,5,21,-8
MIL,MIL vs. ORL,05/11/2021,W,48,114,43,101,42.6,8,33,24.2,20,27,74.1,17,46,63,16,9,10,1,15,12
LAC,LAC @ TOR,05/11/2021,W,48,115,39,78,50.0,11,32,34.4,26,26,100,9,40,49,25,18,10,4,17,19
OKC,OKC @ SAC,05/11/2021,L,48,106,39,84,46.4,9,23,39.1,19,28,67.9,9,36,45,22,18,9,5,18,-16
PHI,PHI @ IND,05/11/2021,L,48,94,38,87,43.7,8,26,30.8,10,14,71.4,5,30,35,23,11,9,5,17,-9
UTA,UTA @ GSW,05/10/2021,L,48,116,41,91,45.1,13,44,29.5,21,24,87.5,13,35,48,14,15,7,1,20,-3
MIL,MIL @ SAS,05/10/2021,L,48,125,47,94,50.0,13,41,31.7,18,23,78.3,8,26,34,26,8,6,6,13,-21
SAS,SAS vs. MIL,05/10/2021,W,48,146,56,94,59.6,17,29,58.6,17,21,81.0,9,37,46,27,13,6,5,16,21
WAS,WAS @ ATL,05/10/2021,L,48,124,51,100,51.0,13,26,50.0,9,11,81.8,8,34,42,28,9,8,8,21,-1
HOU,HOU @ POR,05/10/2021,L,48,129,42,85,49.4,18,38,47.4,27,28,96.4,7,37,44,30,13,5,2,26,-11
POR,POR vs. HOU,05/10/2021,W,48,140,47,92,51.1,18,40,45.0,28,35,80.0,12,35,47,30,9,7,4,18,11
GSW,GSW vs. UTA,05/10/2021,W,48,119,41,88,46.6,14,42,33.3,23,25,92.0,9,32,41,26,10,8,2,20,3
CLE,CLE vs. IND,05/10/2021,L,48,102,33,93,35.5,13,39,33.3,23,30,76.7,15,35,50,21,12,8,2,13,-9
MEM,MEM vs. NOP,05/10/2021,W,48,115,45,91,49.5,9,30,30.0,16,27,59.3,10,39,49,33,12,8,19,17,5
IND,IND @ CLE,05/10/2021,W,48,111,44,88,50.0,11,27,40.7,12,16,75.0,10,37,47,32,11,7,13,21,9
NOP,NOP @ MEM,05/10/2021,L,48,110,43,97,44.3,10,23,43.5,14,21,66.7,14,36,50,29,12,9,4,18,-5
ATL,ATL vs. WAS,05/10/2021,W,48,125,46,96,47.9,10,30,33.3,23,26,88.5,13,42,55,23,12,4,6,17,1
MIA,MIA @ BOS,05/09/2021,W,48,130,47,82,57.3,16,35,45.7,20,22,90.9,3,32,35,30,11,8,2,20,6
ORL,ORL vs. MIN,05/09/2021,L,48,96,36,91,39.6,9,36,25.0,15,22,68.2,10,35,45,20,13,5,5,20,-32
BOS,BOS vs. MIA,05/09/2021,L,48,124,45,83,54.2,14,38,36.8,20,25,80.0,6,28,34,29,14,7,3,22,-6
LAC,LAC vs. NYK,05/09/2021,L,48,100,37,86,43.0,12,35,34.3,14,16,87.5,7,36,43,24,13,5,1,12,-6
DAL,DAL @ CLE,05/09/2021,W,48,124,50,93,53.8,15,39,38.5,9,11,81.8,8,34,42,33,12,9,7,24,27
DET,DET vs. CHI,05/09/2021,L,48,96,36,79,45.6,11,27,40.7,13,22,59.1,5,32,37,22,14,4,4,14,-12
NYK,NYK @ LAC,05/09/2021,W,48,106,42,90,46.7,13,32,40.6,9,9,100,8,37,45,25,10,7,5,17,6
MIN,MIN @ ORL,05/09/2021,W,48,128,47,97,48.5,16,45,35.6,18,24,75.0,12,45,57,30,10,5,9,20,32
SAC,SAC vs. OKC,05/09/2021,W,48,126,45,85,52.9,16,36,44.4,20,24,83.3,9,42,51,30,15,8,11,19,28
OKC,OKC @ SAC,05/09/2021,L,48,98,34,87,39.1,11,37,29.7,19,29,65.5,10,28,38,23,14,9,3,18,-28
CLE,CLE vs. DAL,05/09/2021,L,48,97,33,86,38.4,11,31,35.5,20,31,64.5,10,28,38,18,16,5,2,12,-27
CHI,CHI @ DET,05/09/2021,W,48,108,43,84,51.2,12,32,37.5,10,14,71.4,5,38,43,27,9,6,3,22,12
LAL,LAL vs. PHX,05/09/2021,W,48,123,39,80,48.8,13,30,43.3,32,41,78.0,14,27,41,24,14,11,3,21,13
CHA,CHA vs. NOP,05/09/2021,L,48,110,42,95,44.2,13,37,35.1,13,18,72.2,11,35,46,22,19,6,8,19,-2
NOP,NOP @ CHA,05/09/2021,W,48,112,45,96,46.9,12,37,32.4,10,22,45.5,16,35,51,26,16,11,9,20,2
PHX,PHX @ LAL,05/09/2021,L,48,110,39,73,53.4,11,25,44.0,21,25,84.0,3,29,32,23,15,8,6,29,-13
PHI,PHI vs. DET,05/08/2021,W,48,118,41,84,48.8,9,30,30.0,27,31,87.1,9,35,44,22,11,11,4,18,14
WAS,WAS @ IND,05/08/2021,W,53,133,49,110,44.5,9,32,28.1,26,30,86.7,15,45,60,26,18,7,9,24,1
IND,IND vs. WAS,05/08/2021,L,53,132,50,104,48.1,7,29,24.1,25,30,83.3,8,41,49,33,13,11,5,24,-1
OKC,OKC @ GSW,05/08/2021,L,48,97,38,94,40.4,9,37,24.3,12,20,60.0,11,30,41,21,13,10,1,16,-39
POR,POR vs. SAS,05/08/2021,W,48,124,45,97,46.4,12,34,35.3,22,30,73.3,18,45,63,24,8,3,5,15,22
MEM,MEM @ TOR,05/08/2021,W,48,109,38,85,44.7,14,43,32.6,19,26,73.1,14,42,56,24,17,7,8,21,10
DET,DET @ PHI,05/08/2021,L,48,104,41,84,48.8,11,34,32.4,11,16,68.8,10,34,44,22,18,5,7,25,-14
SAS,SAS @ POR,05/08/2021,L,48,102,37,93,39.8,8,30,26.7,20,23,87.0,7,33,40,17,7,6,5,24,-22
UTA,UTA vs. HOU,05/08/2021,W,48,124,45,85,52.9,15,38,39.5,19,21,90.5,7,42,49,28,18,7,4,13,8
GSW,GSW vs. OKC,05/08/2021,W,48,136,47,81,58.0,27,54,50.0,15,18,83.3,2,44,46,31,19,5,4,19,39
TOR,TOR vs. MEM,05/08/2021,L,48,99,36,94,38.3,10,32,31.3,17,24,70.8,13,33,46,18,12,10,2,21,-10
HOU,HOU @ UTA,05/08/2021,L,48,116,43,98,43.9,18,51,35.3,12,17,70.6,9,31,40,25,9,11,3,15,-8
,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN vs. BKN,05/08/2021,L,48,119,42,92,45.7,14,41,34.1,21,23,91.3,10,23,33,21,12,8,1,23,-6
BKN,BKN @ DEN,05/08/2021,W,48,125,41,66,62.1,16,31,51.6,27,33,81.8,2,33,35,27,17,10,5,24,6
PHI,PHI vs. NOP,05/07/2021,W,48,109,38,85,44.7,15,35,42.9,18,22,81.8,10,41,51,27,17,5,6,19,2
NYK,NYK @ PHX,05/07/2021,L,48,105,38,84,45.2,11,32,34.4,18,23,78.3,6,35,41,24,13,2,4,25,-23
MIL,MIL vs. HOU,05/07/2021,W,48,141,51,95,53.7,19,46,41.3,20,23,87.0,13,40,53,30,17,8,5,14,8
DAL,DAL vs. CLE,05/07/2021,W,48,110,41,83,49.4,10,32,31.3,18,22,81.8,9,36,45,21,10,7,7,22,20
POR,POR vs. LAL,05/07/2021,W,48,106,37,88,42.0,12,37,32.4,20,21,95.2,6,38,44,22,9,6,2,20,5
UTA,UTA vs. DEN,05/07/2021,W,48,127,43,89,48.3,21,46,45.7,20,23,87.0,9,29,38,27,12,9,3,20,7
BOS,BOS @ CHI,05/07/2021,L,48,99,35,86,40.7,11,39,28.2,18,23,78.3,11,36,47,19,14,5,8,15,-22
CHA,CHA vs. ORL,05/07/2021,W,48,122,44,89,49.4,9,33,27.3,25,33,75.8,11,40,51,28,11,5,4,23,10
MIA,MIA vs. MIN,05/07/2021,W,48,121,44,87,50.6,13,32,40.6,20,27,74.1,8,29,37,27,14,9,2,22,9
NOP,NOP @ PHI,05/07/2021,L,48,107,41,101,40.6,9,36,25.0,16,22,72.7,16,36,52,26,11,12,6,21,-2
CHI,CHI vs. BOS,05/07/2021,W,48,121,43,99,43.4,18,40,45.0,17,18,94.4,15,37,52,26,9,10,4,20,22
ORL,ORL @ CHA,05/07/2021,L,48,112,41,98,41.8,9,30,30.0,21,28,75.0,14,33,47,19,7,6,7,24,-10
MIN,MIN @ MIA,05/07/2021,L,48,112,41,85,48.2,10,37,27.0,20,30,66.7,9,32,41,27,16,7,4,24,-9
SAC,SAC vs. SAS,05/07/2021,L,48,104,41,84,48.8,13,32,40.6,9,15,60.0,4,31,35,27,16,10,3,19,-9
HOU,HOU @ MIL,05/07/2021,L,48,133,48,96,50.0,25,53,47.2,12,18,66.7,7,30,37,36,16,10,5,21,-8
DEN,DEN @ UTA,05/07/2021,L,48,120,43,83,51.8,17,38,44.7,17,20,85.0,9,29,38,31,17,8,3,16,-7
LAL,LAL @ POR,05/07/2021,L,48,101,37,89,41.6,11,30,36.7,16,22,72.7,10,39,49,19,14,2,4,20,-5
PHX,PHX vs. NYK,05/07/2021,W,48,128,43,92,46.7,18,41,43.9,24,25,96.0,7,38,45,26,7,5,3,17,23
SAS,SAS @ SAC,05/07/2021,W,48,113,46,89,51.7,4,22,18.2,17,19,89.5,7,37,44,20,13,8,7,12,9
CLE,CLE @ DAL,05/07/2021,L,48,90,32,83,38.6,6,29,20.7,20,26,76.9,11,32,43,17,15,6,0,18,-20
LAC,LAC vs. LAL,05/06/2021,W,48,118,41,77,53.2,13,31,41.9,23,26,88.5,9,39,48,23,22,4,5,25,24
MEM,MEM @ DET,05/06/2021,L,48,97,38,89,42.7,10,37,27.0,11,17,64.7,12,30,42,25,15,7,5,14,-14
IND,IND vs. ATL,05/06/2021,W,48,133,54,87,62.1,8,20,40.0,17,19,89.5,4,32,36,35,15,11,4,19,7
ATL,ATL @ IND,05/06/2021,L,48,126,48,94,51.1,15,37,40.5,15,18,83.3,10,24,34,27,12,8,6,17,-7
DET,DET vs. MEM,05/06/2021,W,48,111,44,83,53.0,11,28,39.3,12,14,85.7,5,34,39,24,12,9,6,18,14
BKN,BKN @ DAL,05/06/2021,L,48,109,41,95,43.2,13,37,35.1,14,15,93.3,10,41,51,18,13,8,4,18,-4
DAL,DAL vs. BKN,05/06/2021,W,48,113,40,89,44.9,15,34,44.1,18,26,69.2,12,39,51,23,12,10,3,15,4
LAL,LAL @ LAC,05/06/2021,L,48,94,33,87,37.9,10,36,27.8,18,29,62.1,11,23,34,21,11,8,6,23,-24
WAS,WAS @ TOR,05/06/2021,W,53,131,41,94,43.6,13,30,43.3,36,43,83.7,11,36,47,29,15,4,6,22,2
GSW,GSW vs. OKC,05/06/2021,W,48,118,42,86,48.8,19,47,40.4,15,18,83.3,7,42,49,36,14,4,1,19,21
OKC,OKC @ GSW,05/06/2021,L,48,97,36,88,40.9,9,39,23.1,16,20,80.0,5,34,39,21,10,9,1,19,-21
TOR,TOR vs. WAS,05/06/2021,L,53,129,47,105,44.8,14,38,36.8,21,27,77.8,18,32,50,23,13,9,5,30,-2
CHA,CHA vs. CHI,05/06/2021,L,48,99,38,90,42.2,16,35,45.7,7,18,38.9,13,32,45,29,15,11,3,16,-21
CHI,CHI @ CHA,05/06/2021,W,48,120,46,91,50.5,18,37,48.6,10,17,58.8,15,41,56,33,17,10,8,20,21
HOU,HOU vs. PHI,05/05/2021,L,48,115,42,93,45.2,17,45,37.8,14,18,77.8,12,26,38,28,13,6,5,16,-20
DEN,DEN vs. NYK,05/05/2021,W,48,113,37,97,38.1,12,39,30.8,27,33,81.8,17,46,63,23,15,13,7,24,16
BOS,BOS @ ORL,05/05/2021,W,48,132,51,96,53.1,21,45,46.7,9,12,75.0,9,36,45,28,11,8,9,23,36
CLE,CLE vs. POR,05/05/2021,L,48,105,37,92,40.2,13,38,34.2,18,26,69.2,12,30,42,23,9,9,3,18,-36
IND,IND vs. SAC,05/05/2021,L,48,93,36,83,43.4,9,25,36.0,12,17,70.6,10,38,48,26,22,8,6,13,-11
POR,POR @ CLE,05/05/2021,W,48,141,53,92,57.6,16,33,48.5,19,25,76.0,11,43,54,26,10,7,9,20,36
ORL,ORL vs. BOS,05/05/2021,L,48,96,33,85,38.8,6,25,24.0,24,28,85.7,10,35,45,13,19,7,7,11,-36
WAS,WAS @ MIL,05/05/2021,L,48,134,47,96,49.0,8,22,36.4,32,43,74.4,11,32,43,27,7,6,6,23,-1
ATL,ATL vs. PHX,05/05/2021,W,48,135,53,84,63.1,13,26,50.0,16,18,88.9,9,37,46,35,11,8,6,21,32
PHX,PHX @ ATL,05/05/2021,L,48,103,33,79,41.8,12,32,37.5,25,29,86.2,10,20,30,19,10,9,3,16,-32
SAC,SAC @ IND,05/05/2021,W,48,104,43,95,45.3,8,32,25.0,10,14,71.4,12,36,48,21,12,16,7,14,11
NYK,NYK @ DEN,05/05/2021,L,48,97,33,86,38.4,13,35,37.1,18,27,66.7,6,36,42,18,15,6,10,24,-16
MIL,MIL vs. WAS,05/05/2021,W,48,135,48,89,53.9,18,37,48.6,21,28,75.0,10,35,45,30,20,4,6,31,1
