GAME DATE,H_TEAM,H_FINAL,H_MIN,H_PTS,H_FGM,H_FGA,H_FG%,H_3PM,H_3PA,H_3P%,H_FTM,H_FTA,H_FT%,H_OREB,H_DREB,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PF,H_+/-,A_TEAM,A_FINAL,A_MIN,A_PTS,A_FGM,A_FGA,A_FG%,A_3PM,A_3PA,A_3P%,A_FTM,A_FTA,A_FT%,A_OREB,A_DREB,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PF,A_+/-,POINT_TOTAL
04/20/2021,SAC,0,48.0,120.0,44.0,97.0,45.4,18.0,42.0,42.9,14.0,16.0,87.5,13.0,26.0,39.0,28.0,11.0,10.0,3.0,17.0,-14.0,MIN,1,48.0,134.0,51.0,90.0,56.7,18.0,43.0,41.9,14.0,19.0,73.7,12.0,38.0,50.0,34.0,18.0,5.0,9.0,16.0,14.0,254.0
04/20/2021,POR,0,48.0,112.0,42.0,94.0,44.7,14.0,44.0,31.8,14.0,19.0,73.7,13.0,29.0,42.0,22.0,6.0,7.0,4.0,16.0,-1.0,LAC,1,48.0,113.0,45.0,90.0,50.0,11.0,38.0,28.9,12.0,15.0,80.0,10.0,35.0,45.0,24.0,10.0,3.0,3.0,15.0,1.0,225.0
04/19/2021,WAS,1,48.0,119.0,46.0,91.0,50.5,10.0,31.0,32.3,17.0,29.0,58.6,8.0,34.0,42.0,31.0,12.0,8.0,2.0,19.0,12.0,OKC,0,48.0,107.0,36.0,83.0,43.4,13.0,33.0,39.4,22.0,27.0,81.5,9.0,39.0,48.0,23.0,19.0,6.0,2.0,26.0,-12.0,226.0
04/19/2021,BOS,0,48.0,96.0,36.0,77.0,46.8,10.0,25.0,40.0,14.0,15.0,93.3,3.0,36.0,39.0,21.0,16.0,8.0,3.0,15.0,-6.0,CHI,1,48.0,102.0,41.0,91.0,45.1,11.0,32.0,34.4,9.0,10.0,90.0,9.0,31.0,40.0,30.0,12.0,11.0,8.0,15.0,6.0,198.0
04/19/2021,PHI,0,48.0,96.0,35.0,89.0,39.3,12.0,32.0,37.5,14.0,18.0,77.8,10.0,32.0,42.0,26.0,13.0,9.0,6.0,21.0,-11.0,GSW,1,48.0,107.0,34.0,76.0,44.7,14.0,32.0,43.8,25.0,32.0,78.1,6.0,39.0,45.0,15.0,16.0,2.0,5.0,19.0,11.0,203.0
04/19/2021,LAL,0,48.0,97.0,34.0,79.0,43.0,12.0,28.0,42.9,17.0,25.0,68.0,5.0,27.0,32.0,17.0,10.0,10.0,1.0,14.0,-14.0,UTA,1,48.0,111.0,43.0,75.0,57.3,15.0,33.0,45.5,10.0,11.0,90.9,2.0,40.0,42.0,29.0,17.0,5.0,5.0,20.0,14.0,208.0
04/19/2021,DEN,1,58.0,139.0,51.0,102.0,50.0,15.0,39.0,38.5,22.0,26.0,84.6,13.0,45.0,58.0,30.0,24.0,6.0,6.0,19.0,2.0,MEM,0,58.0,137.0,51.0,107.0,47.7,17.0,40.0,42.5,18.0,24.0,75.0,10.0,37.0,47.0,33.0,15.0,15.0,3.0,24.0,-2.0,276.0
04/19/2021,DET,1,48.0,109.0,42.0,86.0,48.8,10.0,27.0,37.0,15.0,21.0,71.4,10.0,34.0,44.0,25.0,17.0,8.0,5.0,22.0,4.0,CLE,0,48.0,105.0,42.0,86.0,48.8,5.0,26.0,19.2,16.0,20.0,80.0,9.0,30.0,39.0,24.0,18.0,9.0,8.0,21.0,-4.0,214.0
04/19/2021,MIA,1,48.0,113.0,45.0,93.0,48.4,19.0,48.0,39.6,4.0,7.0,57.1,11.0,41.0,52.0,31.0,15.0,7.0,5.0,19.0,22.0,HOU,0,48.0,91.0,33.0,85.0,38.8,9.0,38.0,23.7,16.0,17.0,94.1,6.0,35.0,41.0,20.0,13.0,8.0,3.0,7.0,-22.0,204.0
04/19/2021,MIL,0,53.0,127.0,49.0,102.0,48.0,11.0,34.0,32.4,18.0,19.0,94.7,9.0,42.0,51.0,19.0,12.0,7.0,3.0,15.0,-1.0,PHX,1,53.0,128.0,51.0,106.0,48.1,17.0,42.0,40.5,9.0,10.0,90.0,8.0,37.0,45.0,28.0,11.0,7.0,4.0,16.0,1.0,255.0
